case,family,seed,version,node_lp,branching_method,status,objective,bb_nodes,formal_lp_solved,inference_time_sec,total_runtime_sec,time_repeats_sec,relative_gap,limit_type,lp_backend
budget_nx2_ny6_s259,branch_sensitive_cover,259,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,13.9,19,22,0.005060667,1.5667433,1.5667433;1.5750507;1.5653922,0,,自制active-set
budget_nx2_ny6_s259,branch_sensitive_cover,259,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,13.9,27,30,0,0.019657417,0.020006958;0.019657417;0.019510291,0,,SciPy-HiGHS
budget_nx2_ny6_s259,branch_sensitive_cover,259,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,13.9,19,22,0.004173791,0.021137,0.021155542;0.021137;0.020987417,0,,SciPy-HiGHS
budget_nx2_ny6_s269,branch_sensitive_cover,269,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,18.7285,25,28,0,1.5077507,1.5077507;1.499612;1.5087565,0,,自制active-set
budget_nx2_ny6_s269,branch_sensitive_cover,269,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,18.7285,25,28,0.006094584,1.4969565,1.5110502;1.4969565;1.4932738,0,,自制active-set
budget_nx2_ny6_s269,branch_sensitive_cover,269,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,18.7285,25,28,0,0.019589625,0.019378167;0.019589625;0.019618209,0,,SciPy-HiGHS
budget_nx2_ny6_s269,branch_sensitive_cover,269,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,18.7285,25,28,0.005459166,0.025562666,0.025618208;0.025562666;0.025330417,0,,SciPy-HiGHS
cardinality_nx2_ny6_s569,branch_sensitive_cover,569,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,13.905,23,26,0,0.99977129,1.0008883;0.99569046;0.99977129,0,,自制active-set
cardinality_nx2_ny6_s569,branch_sensitive_cover,569,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,13.905,21,24,0.005233792,0.99663442,0.99663442;1.0003901;0.99507475,0,,自制active-set
cardinality_nx2_ny6_s569,branch_sensitive_cover,569,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,13.905,25,28,0,0.021531667,0.021737791;0.021531667;0.021042958,0,,SciPy-HiGHS
cardinality_nx2_ny6_s569,branch_sensitive_cover,569,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,13.905,21,24,0.004559416,0.025441667,0.025028;0.025462875;0.025441667,0,,SciPy-HiGHS
mutual_nx2_ny6_s182,branch_sensitive_cover,182,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,18.26,23,26,0,1.3898547,1.3898547;1.4267384;1.3837407,0,,自制active-set
mutual_nx2_ny6_s182,branch_sensitive_cover,182,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,18.26,21,24,0.00543725,1.1601954,1.1795546;1.1601954;1.1133676,0,,自制active-set
mutual_nx2_ny6_s182,branch_sensitive_cover,182,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,18.26,23,26,0,0.021040625,0.021040625;0.021231166;0.021028917,0,,SciPy-HiGHS
mutual_nx2_ny6_s182,branch_sensitive_cover,182,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,18.26,21,24,0.004437043,0.022764875,0.022764875;0.022769542;0.022580208,0,,SciPy-HiGHS
