suite,case,seed,units,backend,status,objective,match_gurobi,nodes,lp_solved,candidates_checked,simplex_iterations,lp_total_runtime_sec,total_runtime_median_sec,time_run_1_sec,time_run_2_sec,time_run_3_sec,iteration_limit,numerical_error,note
batch,batch_units_2_seed_3,3,2,two_phase_simplex,optimal,22.316514,True,5,8,-,10,0.001990794,0.002179209,0.002166750,0.002237875,0.002179209,False,False,
batch,batch_units_2_seed_3,3,2,scipy_highs,optimal,22.316514,True,5,8,-,-,0.003721000,0.003920292,0.003920292,0.003869292,0.004379792,False,False,
batch,batch_units_2_seed_3,3,2,gurobi,optimal,22.316514,True,0,,-,-,-,0.000145416,0.000160375,0.000145416,0.000139500,False,False,
batch,batch_units_2_seed_4,4,2,active_set,optimal,32.389692,True,3,5,396,-,0.003885249,0.004004209,0.003959541,0.004004209,0.004130459,False,False,
batch,batch_units_2_seed_4,4,2,two_phase_simplex,optimal,32.389692,True,3,5,-,9,0.001506459,0.001633542,0.001642750,0.001633542,0.001600792,False,False,
batch,batch_units_2_seed_4,4,2,scipy_highs,optimal,32.389692,True,3,5,-,-,0.002843501,0.002987667,0.002987667,0.003224000,0.002897208,False,False,
batch,batch_units_2_seed_4,4,2,gurobi,optimal,32.389692,True,0,,-,-,-,0.000143333,0.000158958,0.000143333,0.000138167,False,False,
batch,batch_units_3_seed_0,0,3,active_set,optimal,40.471695,True,5,8,9540,-,0.063714834,0.063947583,0.063801416,0.063947583,0.064322292,False,False,
batch,batch_units_3_seed_0,0,3,two_phase_simplex,optimal,40.471695,True,5,8,-,19,0.002827126,0.003028667,0.003211417,0.003028667,0.003018041,False,False,
batch,batch_units_3_seed_0,0,3,scipy_highs,optimal,40.471695,True,5,8,-,-,0.004449792,0.004664791,0.004969209,0.004664791,0.004639584,False,False,
batch,batch_units_3_seed_0,0,3,gurobi,optimal,40.471695,True,0,,-,-,-,0.000168500,0.000195250,0.000165667,0.000168500,False,False,
batch,batch_units_3_seed_1,1,3,active_set,optimal,29.098846,True,7,10,9982,-,0.066716708,0.067105166,0.067393291,0.066839792,0.067105166,False,False,
batch,batch_units_3_seed_1,1,3,two_phase_simplex,optimal,29.098846,True,7,10,-,30,0.003514875,0.003878584,0.003913416,0.003863125,0.003878584,False,False,
batch,batch_units_3_seed_1,1,3,scipy_highs,optimal,29.098846,True,7,10,-,-,0.006446624,0.006870875,0.006792916,0.007103084,0.006870875,False,False,
batch,batch_units_3_seed_1,1,3,gurobi,optimal,29.098846,True,1,,-,-,-,0.000258000,0.000288667,0.000258000,0.000245250,False,False,
batch,batch_units_3_seed_2,2,3,active_set,optimal,33.497582,True,3,6,9330,-,0.061712417,0.061935250,0.061935250,0.061627083,0.062215792,False,False,
batch,batch_units_3_seed_2,2,3,two_phase_simplex,optimal,33.497582,True,3,6,-,14,0.002174458,0.002364000,0.002336875,0.002364000,0.002384000,False,False,
batch,batch_units_3_seed_2,2,3,scipy_highs,optimal,33.497582,True,3,6,-,-,0.003350416,0.003552375,0.003552375,0.003494917,0.003633917,False,False,
batch,batch_units_3_seed_2,2,3,gurobi,optimal,33.497582,True,1,,-,-,-,0.000225084,0.000258709,0.000225084,0.000213625,False,False,
batch,batch_units_3_seed_3,3,3,active_set,optimal,25.380372,True,3,6,9340,-,0.061632334,0.061809542,0.062113333,0.061761375,0.061809542,False,False,
